date,Price,Price_Change
Feb-01-2018,9.945,
Feb-02-2018,9.8875,-0.0575
Feb-03-2018,9.8875,-0.0525
Feb-04-2018,9.8875,-0.0525
Feb-05-2018,9.835,-0.0525
Feb-06-2018,9.95,0.115
Feb-07-2018,9.91,-0.04
Feb-08-2018,9.9475,0.0375
Feb-09-2018,9.9025,-0.045
Feb-10-2018,9.9025,0.07
Feb-11-2018,9.9025,0.07
Feb-12-2018,9.9725,0.07
Feb-13-2018,9.9725,0
Feb-14-2018,9.935,-0.0375
Feb-15-2018,9.98,0.045
Feb-16-2018,9.9725,-0.0075
Feb-17-2018,9.9725,0
Feb-18-2018,9.9725,0
Feb-19-2018,9.9725,0
Feb-20-2018,9.995,0.0225
Feb-21-2018,10,0.005
Feb-22-2018,9.9925,-0.0075
Feb-23-2018,10.0175,0.025
Feb-24-2018,10.0175,0.0025
Feb-25-2018,10.0175,0.0025
Feb-26-2018,10.02,0.0025
Feb-27-2018,10.01,-0.01
Feb-28-2018,10,-0.01
Mar-01-2018,10.01,0.01
Mar-02-2018,9.9525,-0.0575
Mar-03-2018,9.9525,0.0475
Mar-04-2018,9.9525,0.0475
Mar-05-2018,10,0.0475
Mar-06-2018,10.0775,0.0775
Mar-07-2018,10.0725,-0.005
Mar-08-2018,10.0725,0
Mar-09-2018,9.9625,-0.11
Mar-10-2018,9.9625,0.0775
Mar-11-2018,9.9625,0.0775
Mar-12-2018,10.04,0.0775
Mar-13-2018,10.0975,0.0575
Mar-14-2018,9.975,-0.1225
Mar-15-2018,9.9925,0.0175
Mar-16-2018,10.045,0.0525
Mar-17-2018,10.045,-0.08
Mar-18-2018,10.045,-0.08
Mar-19-2018,9.965,-0.08
Mar-20-2018,9.985,0.02
Mar-21-2018,9.975,-0.01
Mar-22-2018,9.9725,-0.0025
Mar-23-2018,9.9625,-0.01
Mar-24-2018,9.9625,-0.005
Mar-25-2018,9.9625,-0.005
Mar-26-2018,9.9575,-0.005
Mar-27-2018,9.9125,-0.045
Mar-28-2018,9.8775,-0.035
Mar-29-2018,10.0375,0.16
Mar-30-2018,10.0375,0
Mar-31-2018,10.0375,-0.075
Apr-01-2018,10.0375,-0.075
Apr-02-2018,9.9625,-0.075
Apr-03-2018,9.9625,0
Apr-04-2018,9.8475,-0.115
Apr-05-2018,9.925,0.0775
Apr-06-2018,9.93,0.005
Apr-07-2018,9.93,0.045
Apr-08-2018,9.93,0.045
Apr-09-2018,9.975,0.045
Apr-10-2018,10.0325,0.0575
Apr-11-2018,10.0275,-0.005
Apr-12-2018,10.0025,-0.025
Apr-13-2018,9.9825,-0.02
Apr-14-2018,9.9825,-0.0275
Apr-15-2018,9.9825,-0.0275
Apr-16-2018,9.955,-0.0275
Apr-17-2018,9.9775,0.0225
Apr-18-2018,10.025,0.0475
Apr-19-2018,10.04,0.015
Apr-20-2018,9.985,-0.055
Apr-21-2018,9.985,-0.015
Apr-22-2018,9.985,-0.015
Apr-23-2018,9.97,-0.015
Apr-24-2018,9.9275,-0.0425
Apr-25-2018,9.915,-0.0125
Apr-26-2018,9.9025,-0.0125
Apr-27-2018,9.985,0.0825
Apr-28-2018,9.985,0.0025
Apr-29-2018,9.985,0.0025
Apr-30-2018,9.9875,0.0025
May-01-2018,10.0625,0.075
